sample,Acidobacteria,Actinobacteria,Bacteroidetes,Firmicutes,Nitrospirae,Planctomycetes,Proteobacteria,Cyanobacteria,Verrucomicrobia,Fusobacteria,Synergistetes,Fibrobacteres,Deinococcus.Thermus,Spirochaetes,Aquificae,Deferribacteres,Chlorobi,Chloroflexi,Ignavibacteriae,Balneolaeota,Tenericutes
990.KA1F.C.14,0.011235955,0.123595506,0.157303371,0.112359551,0,0,0.584269663,0,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.15,0.010638298,0.106382979,0.191489362,0.074468085,0.010638298,0.021276596,0.574468085,0,0.010638298,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.16,0.011904762,0.119047619,0.142857143,0.154761905,0,0,0.55952381,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.17,0.010638298,0.159574468,0.180851064,0.074468085,0.010638298,0.010638298,0.542553191,0,0.010638298,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.19,0.009433962,0.150943396,0.160377358,0.075471698,0.009433962,0,0.58490566,0,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.20,0.009345794,0.14953271,0.186915888,0.046728972,0.009345794,0.009345794,0.579439252,0,0.009345794,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.22,0.007751938,0.178294574,0.19379845,0.054263566,0.007751938,0.007751938,0.542635659,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.23,0.007874016,0.188976378,0.149606299,0.094488189,0.007874016,0.015748031,0.527559055,0,0.007874016,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.24,0.011904762,0.130952381,0.166666667,0.095238095,0,0.011904762,0.571428571,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.C.25,0.008928571,0.089285714,0.258928571,0.098214286,0.008928571,0.008928571,0.517857143,0,0.008928571,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.01,0.017241379,0.051724138,0.172413793,0.103448276,0,0,0.637931034,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.02,0.011363636,0.102272727,0.170454545,0.159090909,0.011363636,0.011363636,0.522727273,0,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.03,0.014925373,0.104477612,0.149253731,0.149253731,0,0,0.47761194,0.089552239,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.04,0.009259259,0.138888889,0.157407407,0.12037037,0.009259259,0.009259259,0.546296296,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.05,0.01754386,0.087719298,0.140350877,0.122807018,0,0,0.614035088,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.06,0.01754386,0.070175439,0.192982456,0.105263158,0,0,0.49122807,0.105263158,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.07,0.014705882,0.117647059,0.132352941,0.088235294,0,0.014705882,0.529411765,0.088235294,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.08,0.008130081,0.146341463,0.178861789,0.056910569,0.008130081,0,0.585365854,0,0.016260163,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.09,0.018018018,0.135135135,0.216216216,0.081081081,0,0.009009009,0.531531532,0,0.009009009,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.10,0.015625,0.09375,0.109375,0.140625,0.015625,0,0.609375,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0
